"","x"
"z[855]",0.99626
"z[856]",0.99731
"z[857]",0.99756
"z[858]",0.99881
"z[859]",0.99936
"z[860]",0.99941
"z[861]",0.99949
"z[862]",0.99945
"z[863]",0.99945
"z[864]",0.99958
"z[865]",0.99959
"z[866]",0.99964
"z[867]",0.99962
"z[868]",0.99961
"z[869]",0.99967
"z[870]",0.99968
"z[871]",0.99976
"z[872]",0.9998
"z[873]",0.99971
"z[874]",0.99971
"z[875]",0.99949
"z[876]",0.99904
"z[877]",0.99928
"z[878]",0.99938
"z[879]",0.99924
"z[880]",0.99927
"z[881]",0.99937
"z[882]",0.99935
"z[883]",0.99946
"z[884]",0.99951
"z[885]",0.99948
"z[886]",0.99909
"z[887]",0.99874
"z[888]",0.99906
"z[889]",0.99885
"z[890]",0.99942
"z[891]",0.99957
"z[892]",0.99971
"z[893]",0.99966
"z[894]",0.99966
"z[895]",0.99957
"z[896]",0.9997
"z[897]",0.99975
"z[898]",0.9998
"z[899]",0.99972
"z[900]",0.99975
"z[901]",0.99975
"z[902]",0.99964
"z[903]",0.9997
"z[904]",0.99956
"z[905]",0.99944
"z[906]",0.99954
"z[907]",0.99952
"z[908]",0.99964
"z[909]",0.99964
"z[910]",0.99972
"z[911]",0.99961
"z[912]",0.99963
"z[913]",0.99963
"z[914]",0.99952
"z[915]",0.99971
"z[916]",0.99976
"z[917]",0.99969
"z[918]",0.99964
"z[919]",0.99969
"z[920]",0.99965
"z[921]",0.99956
"z[922]",0.9995
"z[923]",0.99977
"z[924]",0.99971
"z[925]",0.99966
"z[926]",0.99973
"z[927]",0.99978
"z[928]",0.99987
"z[929]",0.99978
"z[930]",0.9997
"z[931]",0.99953
"z[932]",0.99953
"z[933]",0.99967
"z[934]",0.99947
"z[935]",0.9996
"z[936]",0.99948
"z[937]",0.99939
"z[938]",0.99924
"z[939]",0.99925
"z[940]",0.99906
"z[941]",0.99926
"z[942]",0.99941
"z[943]",0.99949
"z[944]",0.9995
"z[945]",0.99935
"z[946]",0.99955
"z[947]",0.99963
"z[948]",0.99969
"z[949]",0.99969
"z[950]",0.9997
"z[951]",0.99977
"z[952]",0.99978
"z[953]",0.99977
"z[954]",0.99979
"z[955]",0.99977
"z[956]",0.99974
"z[957]",0.99959
"z[958]",0.99927
"z[959]",0.99951
"z[960]",0.99964
"z[961]",0.99957
"z[962]",0.99967
"z[963]",0.99966
"z[964]",0.99957
"z[965]",0.99966
"z[966]",0.99971
"z[967]",0.99974
"z[968]",0.99973
"z[969]",0.99969
"z[970]",0.99956
"z[971]",0.99912
"z[972]",0.99795
"z[973]",0.99788
"z[974]",0.99897
"z[975]",0.99946
"z[976]",0.99959
"z[977]",0.99956
"z[978]",0.99959
"z[979]",0.99954
"z[980]",0.99958
"z[981]",0.99957
"z[982]",0.99957
"z[983]",0.99956
"z[984]",0.99964
"z[985]",0.99963
"z[986]",0.99978
"z[987]",0.99973
"z[988]",0.99975
"z[989]",0.99988
"z[990]",0.99991
"z[991]",0.99984
"z[992]",0.99966
"z[993]",0.99971
"z[994]",0.9998
"z[995]",0.9998
"z[996]",0.99982
"z[997]",0.99968
"z[998]",0.99968
"z[999]",0.99971
